smiles,prob_active,qed,lipinski_violations,score
O=C(O)c1ccccc1-c1ccccc1C(=O)O,0.7171459197998047,0.8673032670072015,0,0.6695644594815299
O=C(O)c1ccccc1-c1ccccc1-c1ccccc1C(=O)O,0.6952140927314758,0.7466023315958221,0,0.6071312776615349
O=C(O)c1ccccc1Oc1ccccc1C(=O)O,0.6374408602714539,0.8803915935181211,0,0.5993192175097006
O=C(O)c1ccccc1C(=O)O,0.6806343197822571,0.688908808436835,0,0.5747646490023337
CC(=O)Oc1ccccc1OC(C)=O,0.6352382302284241,0.528927875728726,0,0.4856167189624099
CC(=O)OC(C)=O,0.5286446809768677,0.32146962429561426,0,0.3492939439781881
