molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,target_chembl_id,label_active,MolWt,MolLogP,TPSA,NumHAcceptors,NumHDonors,NumRotatableBonds,RingCount
CHEMBL71541,CC(C)n1cc(-c2ccc(Oc3ccccc3CO)cc2)c2c(N)ncnc21,IC50,144.0,nM,CHEMBL279,1,374.4440000000001,4.546000000000004,86.19,6,2,5,4
CHEMBL67211,CC(C)n1cc(-c2ccc(Oc3ccccc3C(=O)O)cc2)c2c(N)ncnc21,IC50,5060.0,nM,CHEMBL279,0,388.4270000000001,4.7519000000000045,103.26,6,2,5,4
CHEMBL303195,CC(C)n1cc(-c2ccc(Oc3ccccc3N)cc2)c2c(N)ncnc21,IC50,3300.0,nM,CHEMBL279,0,359.4330000000001,4.635900000000003,91.98,6,2,4,4
CHEMBL66716,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)c(Br)n2C1CCCC1,IC50,1600.0,nM,CHEMBL279,0,449.3520000000002,6.350400000000003,65.96000000000001,5,1,4,5
CHEMBL68888,N#Cc1c(-c2ccc(Oc3ccccc3)cc2)c2c(N)ncnc2n1C1CCCC1,IC50,3200.0,nM,CHEMBL279,0,395.46600000000024,5.459580000000003,89.75,6,1,4,5
CHEMBL69649,COc1ccc(Oc2ccc(-c3cn(C(C)(C)C)c4ncnc(N)c34)cc2)cc1,IC50,1310.0,nM,CHEMBL279,0,388.47100000000006,5.236400000000003,75.19,6,1,4,4
CHEMBL69544,COCc1c(-c2ccc(Oc3ccccc3)cc2)c2c(N)ncnc2n1C1CCCC1,IC50,4240.0,nM,CHEMBL279,0,414.50900000000024,5.734300000000005,75.19,6,1,6,5
CHEMBL433097,CC(C)(C)n1cc(-c2ccc(Oc3cccc(N)c3)cc2)c2c(N)ncnc21,IC50,400.0,nM,CHEMBL279,1,373.4600000000001,4.810000000000002,91.98,6,2,3,4
CHEMBL71722,CC(C)n1cc(-c2ccc(Oc3ccccc3C#N)cc2)c2c(N)ncnc21,IC50,161.0,nM,CHEMBL279,1,369.4280000000001,4.925380000000004,89.75,6,1,4,4
CHEMBL69868,Cc1c(-c2ccc(Oc3ccccc3)cc2)c2c(N)ncnc2n1C1CCCC1,IC50,3350.0,nM,CHEMBL279,0,384.48300000000023,5.896320000000005,65.96000000000001,5,1,4,5
CHEMBL67560,CC(O)c1c(-c2ccc(Oc3ccccc3)cc2)c2c(N)ncnc2n1C1CCCC1,IC50,1860.0,nM,CHEMBL279,0,414.50900000000024,5.641200000000004,86.19,6,2,5,5
CHEMBL68773,CC(C)n1cc(-c2ccc(Oc3ccc(C(=O)O)cc3)cc2)c2c(N)ncnc21,IC50,6890.0,nM,CHEMBL279,0,388.4270000000001,4.751900000000004,103.26,6,2,5,4
CHEMBL68663,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)c(CN1CCOCC1)n2C1CCCC1,IC50,3680.0,nM,CHEMBL279,0,469.58900000000045,5.420100000000005,78.43,7,1,6,6
CHEMBL66102,COc1ccccc1Oc1ccc(-c2cn(C3CCCC3)c3ncnc(N)c23)cc1,IC50,500.0,nM,CHEMBL279,1,400.48200000000014,5.596500000000004,75.19,6,1,5,5
CHEMBL68430,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)c(Cl)n2C1CCCC1,IC50,16900.0,nM,CHEMBL279,0,404.90100000000024,6.241300000000003,65.96000000000001,5,1,4,5
CHEMBL68082,NCc1c(-c2ccc(Oc3ccccc3)cc2)c2c(N)ncnc2n1C1CCCC1,IC50,677.0,nM,CHEMBL279,1,399.4980000000002,5.046600000000003,91.97999999999999,6,2,5,5
CHEMBL71985,CC(C)n1cc(-c2ccc(Oc3ccc(C#N)cc3)cc2)c2c(N)ncnc21,IC50,129.0,nM,CHEMBL279,1,369.4280000000001,4.925380000000004,89.75,6,1,4,4
CHEMBL300767,COc1ccc2c(c1)/C(=C/c1[nH]cc3c1CCOC3=O)C(=O)N2,IC50,20000.0,nM,CHEMBL279,0,310.309,2.2288999999999994,80.42,4,2,2,4
CHEMBL94678,COC(=O)[C@]1(O)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,19.0,nM,CHEMBL279,1,467.4810000000003,3.655100000000002,94.72,7,2,1,8
CHEMBL432491,NS(=O)(=O)c1ccc2c(c1)/C(=C/c1[nH]cc3c1CCOC3=O)C(=O)N2,IC50,6600.0,nM,CHEMBL279,0,359.36300000000017,0.8676999999999999,131.35,5,3,2,4
CHEMBL281948,COC(=O)[C@@]1(O)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,43.0,nM,CHEMBL279,1,467.4810000000003,3.655100000000002,94.72,7,2,1,8
CHEMBL60541,CNS(=O)(=O)c1ccc2c(c1)/C(=C/c1[nH]cc3c1CCOC3=O)C(=O)N2,IC50,6600.0,nM,CHEMBL279,0,373.3900000000002,1.1283999999999998,117.35999999999999,5,3,3,4
CHEMBL418301,O=C1Nc2cc(-c3ccccc3)ccc2/C1=C/c1[nH]cc2c1CCOC2=O,IC50,2000.0,nM,CHEMBL279,0,356.3810000000002,3.8873000000000024,71.19,3,2,2,5
CHEMBL301639,O=C1Nc2ccc(Cl)cc2/C1=C/c1[nH]cc2c1CCOC2=O,IC50,20000.0,nM,CHEMBL279,0,314.7280000000001,2.8737000000000004,71.19,3,2,1,4
CHEMBL58224,O=C1Nc2cccc(C3CCNCC3)c2/C1=C/c1[nH]cc2c1CCOC2=O,IC50,490.0,nM,CHEMBL279,1,363.41700000000014,2.6873000000000014,83.22,4,3,2,5
CHEMBL258805,COc1ccc2c(c1)/C(=C/c1cnc[nH]1)C(=O)N2,IC50,130.0,nM,CHEMBL279,1,241.25000000000003,1.9109999999999994,67.00999999999999,3,2,2,3
CHEMBL57446,Cc1cccc2c1/C(=C/c1[nH]cc3c1CCOC3=O)C(=O)N2,IC50,20000.0,nM,CHEMBL279,0,294.30999999999995,2.52872,71.19,3,2,1,4
CHEMBL59073,COc1ccc2c(c1)NC(=O)/C2=C\c1[nH]cc2c1CCOC2=O,IC50,20000.0,nM,CHEMBL279,0,310.3090000000001,2.2289000000000003,80.41999999999999,4,2,2,4
CHEMBL293068,O=C1Nc2ccc(C(=O)O)cc2/C1=C/c1[nH]cc2c1CCOC2=O,IC50,6200.0,nM,CHEMBL279,0,324.29200000000014,1.9185,108.49000000000001,4,3,2,4
CHEMBL292864,O=C1Nc2ccc(Br)cc2/C1=C/c1[nH]cc2c1CCOC2=O,IC50,11000.0,nM,CHEMBL279,0,359.1790000000002,2.982800000000001,71.19,3,2,1,4
CHEMBL299032,CC(C)NS(=O)(=O)c1ccc2c(c1)/C(=C/c1[nH]cc3c1CCOC3=O)C(=O)N2,IC50,6700.0,nM,CHEMBL279,0,401.44400000000024,1.9069999999999998,117.35999999999999,5,3,4,4
CHEMBL57256,CN(C)S(=O)(=O)c1ccc2c(c1)/C(=C/c1[nH]cc3c1CCOC3=O)C(=O)N2,IC50,20000.0,nM,CHEMBL279,0,387.41700000000026,1.4706000000000001,108.57,5,2,3,4
CHEMBL21156,CC(C)(C)c1nc2c3ccc(F)cc3c3c(=O)[nH]ccc3c2[nH]1,IC50,1400.0,nM,CHEMBL279,0,309.344,3.994200000000002,61.54,2,2,0,4
CHEMBL58483,O=C1Nc2cccc(CCO)c2/C1=C/c1[nH]cc2c1CCOC2=O,IC50,1200.0,nM,CHEMBL279,0,324.3360000000001,1.7551,91.42000000000002,4,3,3,4
CHEMBL59110,O=C1Nc2ccc(F)cc2/C1=C/c1[nH]cc2c1CCOC2=O,IC50,10000.0,nM,CHEMBL279,0,298.273,2.3594,71.19,3,2,1,4
CHEMBL131577,Cc1cccc(Cl)c1NC(=O)c1cnc(NC(=O)C2CC2)s1,IC50,25000.0,nM,CHEMBL279,0,335.81600000000014,3.7057200000000012,71.09,4,2,4,3
CHEMBL435227,Cc1c(CCC(=O)O)c[nH]c1/C=C1\C(=O)Nc2ccc(C(=O)O)cc21,IC50,240.0,nM,CHEMBL279,1,340.3350000000001,2.5312200000000002,119.49,3,4,5,3
CHEMBL147761,Cc1c[nH]c(/C=C2\C(=O)Nc3cccc(C)c32)c1CCC(=O)O,IC50,200.0,nM,CHEMBL279,1,310.35300000000007,3.141440000000001,82.19,2,3,4,3
CHEMBL450622,COc1cccc(-c2ccc3c(c2)NC(=O)/C3=C\c2[nH]cc(C)c2CCC(=O)O)c1,IC50,28300.0,nM,CHEMBL279,0,402.45000000000016,4.508620000000001,91.42,3,3,6,4
CHEMBL274654,Cc1[nH]c(/C=C2\C(=O)Nc3ccccc32)c(C)c1CCC(=O)O,IC50,2430.0,nM,CHEMBL279,0,310.35300000000007,3.141440000000001,82.19,2,3,4,3
CHEMBL418203,CN1CCC(c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@@H](O)C1,IC50,10000.0,nM,CHEMBL279,0,401.8460000000001,3.3046000000000015,94.14,6,3,2,4
